"","prefix","time","fit","se","type","lower","upper"
"1","INAG",10000,0.000654447097801522,0.364935996416683,"Intensive Agriculture",0.000315531286252633,0.00135690219691484
"2","INAG",9900.50505050505,0.000735030346709189,0.359149798809774,"Intensive Agriculture",0.000358521597935556,0.0015063415980337
"3","INAG",9801.0101010101,0.00082552775926528,0.35336366335794,"Intensive Agriculture",0.000407366789457723,0.00167221182278714
"4","INAG",9701.51515151515,0.000927156933234628,0.347577594481326,"Intensive Agriculture",0.000462863535133729,0.00185631307276476
"5","INAG",9602.0202020202,0.00104128444453005,0.341791596139826,"Intensive Agriculture",0.000525916709131736,0.00206064130163206
"6","INAG",9502.52525252525,0.00116944392900419,0.336005671809312,"Intensive Agriculture",0.000597554021620759,0.00228740915583766
"7","INAG",9403.0303030303,0.00131335632059156,0.330219824461805,"Intensive Agriculture",0.000678942617624049,0.00253906907501691
"8","INAG",9303.53535353535,0.00147495249290501,0.324434056550108,"Intensive Agriculture",0.000771407896786638,0.00281833875594292
"9","INAG",9204.0404040404,0.00165639857703786,0.318648369997449,"Intensive Agriculture",0.000876454844769962,0.00312822919857653
"10","INAG",9104.54545454545,0.00186012425590191,0.312862766192785,"Intensive Agriculture",0.000995792203147987,0.0034720755673557
"11","INAG",9005.05050505051,0.00208885436486945,0.307077245992531,"Intensive Agriculture",0.00113135984477371,0.00385357111495461
"12","INAG",8905.55555555555,0.00234564415962804,0.30129180972955,"Intensive Agriculture",0.00128535976586517,0.00427680442882652
"13","INAG",8806.06060606061,0.00263391864472683,0.295506457230425,"Intensive Agriculture",0.00146029115473161,0.00474630027226657
"14","INAG",8706.56565656566,0.00295751638987336,0.289721187842151,"Intensive Agriculture",0.00165899005025687,0.00526706430065767
"15","INAG",8607.07070707071,0.00332073829500982,0.283936000469604,"Intensive Agriculture",0.00188467416099787,0.00584463193893851
"16","INAG",8507.57575757576,0.00372840179869292,0.27815089362535,"Intensive Agriculture",0.00214099347790089,0.00648512170684227
"17","INAG",8408.08080808081,0.00418590105612661,0.272365865493626,"Intensive Agriculture",0.00243208737981636,0.00719529327246169
"18","INAG",8308.58585858586,0.0046992736417593,0.266580914010651,"Intensive Agriculture",0.00276264900051921,0.00798261050019514
"19","INAG",8209.09090909091,0.00527527435454438,0.2607960369638,"Intensive Agriculture",0.00313799769770574,0.00885530973366793
"20","INAG",8109.59595959596,0.00592145671903313,0.255011232112633,"Intensive Agriculture",0.00356416053675771,0.00982247351484262
"21","INAG",8010.10101010101,0.0066462627788899,0.249226497335332,"Intensive Agriculture",0.00404796377250716,0.0108941098836775
"22","INAG",7910.60606060606,0.00745912176615516,0.243441831184806,"Intensive Agriculture",0.00459713537357417,0.0120812373323357
"23","INAG",7811.11111111111,0.00837055819366114,0.237657234770274,"Intensive Agriculture",0.00522041967885541,0.0133959754024041
"24","INAG",7711.61616161616,0.00939230986247372,0.23187271044439,"Intensive Agriculture",0.00592770537162414,0.0148516406529121
"25","INAG",7612.12121212121,0.0105374561656862,0.226088260991518,"Intensive Agriculture",0.0067301679055567,0.0164628476984248
"26","INAG",7512.62626262626,0.0118205569237969,0.220303889497379,"Intensive Agriculture",0.00764042751454231,0.0182456147475833
"27","INAG",7413.13131313131,0.0132578017781159,0.214519599224499,"Intensive Agriculture",0.00867272387893192,0.0202174727696903
"28","INAG",7313.63636363636,0.0148671698812662,0.208735393493941,"Intensive Agriculture",0.00984310837824043,0.022397577084554
"29","INAG",7214.14141414141,0.0166685992428504,0.202951275574567,"Intensive Agriculture",0.0111696546330026,0.0248068197524216
"30","INAG",7114.64646464646,0.0186841645921609,0.197167248581384,"Intensive Agriculture",0.0126726876930994,0.0274679406384489
"31","INAG",7015.15151515152,0.0209382619848537,0.1913833153849,"Intensive Agriculture",0.0143750317318816,0.030405634430411
"32","INAG",6915.65656565657,0.0234577975808795,0.18559947853388,"Intensive Agriculture",0.0163022754131,0.0336466501911995
"33","INAG",6816.16161616162,0.0262723770290947,0.179815740194534,"Intensive Agriculture",0.0184830531615266,0.0372198792235374
"34","INAG",6716.66666666667,0.0294144906820757,0.174032102109951,"Intensive Agriculture",0.0209493393308437,0.0411564261118136
"35","INAG",6617.17171717172,0.0329196884068457,0.16824856558466,"Intensive Agriculture",0.0237367506592825,0.0454896567897816
"36","INAG",6517.67676767677,0.0368267360328331,0.162465131500573,"Intensive Agriculture",0.0268848503645907,0.050255216376646
"37","INAG",6418.18181818182,0.0411777434766709,0.156681800372419,"Intensive Agriculture",0.03043744468351,0.0554910083534156
"38","INAG",6318.68686868687,0.0460182523099728,0.150898572453268,"Intensive Agriculture",0.034442859540009,0.061237125457689
"39","INAG",6219.19191919192,0.0513972680212541,0.145115447904118,"Intensive Agriculture",0.0389541812786331,0.0675357215194737
"40","INAG",6119.69696969697,0.0573672195322791,0.139332427046147,"Intensive Agriculture",0.0440294410014459,0.0744308124285526
"41","INAG",6020.20202020202,0.0639838257757732,0.133549510720696,"Intensive Agriculture",0.0497317170261579,0.0819679936286009
"42","INAG",5920.70707070707,0.0713058465131446,0.127766701319023,"Intensive Agriculture",0.0561291243973401,0.0901940612202165
"43","INAG",5821.21212121212,0.0793946923515432,0.121984007062093,"Intensive Agriculture",0.0632946542969629,0.099156524382902
"44","INAG",5721.71717171717,0.0883138671068233,0.116201440924047,"Intensive Agriculture",0.0713058214183499,0.108902995576082
"45","INAG",5622.22222222222,0.0981282155054012,0.110419019358012,"Intensive Agriculture",0.0802440713532191,0.119480449044684
"46","INAG",5522.72727272727,0.108902950440282,0.104636762795476,"Intensive Agriculture",0.0901938963967015,0.130934341026902
"47","INAG",5423.23232323232,0.120702437484041,0.0988546964031395,"Intensive Agriculture",0.101241607377127,0.143307588904791
"48","INAG",5323.73737373737,0.13358872091444,0.0930728511971329,"Intensive Agriculture",0.113473711791018,0.156639412934723
"49","INAG",5224.24242424242,0.147619785612188,0.0872912656802025,"Intensive Agriculture",0.126974856779811,0.170964052029141
"50","INAG",5124.74747474747,0.162847563369789,0.081509988261368,"Intensive Agriculture",0.141825310888852,0.186309374541688
"51","INAG",5025.25252525253,0.179315710625525,0.075729080875909,"Intensive Agriculture",0.158097982634993,0.202695415907941
"52","INAG",4925.75757575758,0.197057207185079,0.0699486244995496,"Intensive Agriculture",0.175855007719541,0.220132886863252
"53","INAG",4826.26262626263,0.216091851273507,0.0641687277502161,"Intensive Agriculture",0.195143980332436,0.238621708105607
"54","INAG",4726.76767676768,0.236423753656613,0.0583895407146209,"Intensive Agriculture",0.21599395593589,0.258149638787768
"55","INAG",4627.27272727273,0.258038960112129,0.0526112780123708,"Intensive Agriculture",0.238411409590878,0.278691076098538
"56","INAG",4527.77777777778,0.280903353936287,0.0468342590640509,"Intensive Agriculture",0.262376389015911,0.300206110598542
"57","INAG",4428.28282828283,0.304961004578823,0.0410589824778759,"Intensive Agriculture",0.287839145649694,0.322639926964473
"58","INAG",4328.78787878788,0.330133130910556,0.0352862735580747,"Intensive Agriculture",0.31471754618922,0.34592264522969
"59","INAG",4229.29292929293,0.356317834557135,0.029517604750507,"Intensive Agriculture",0.342895538421508,0.36996971549301
"60","INAG",4129.79797979798,0.383390727988831,0.0237558818390445,"Intensive Agriculture",0.372222813333985,0.394683055996531
"61","INAG",4030.30303030303,0.411206533514481,0.0180077331039078,"Intensive Agriculture",0.40251535625165,0.419953470760825
"62","INAG",3930.80808080808,0.439601665443405,0.0122921807685861,"Intensive Agriculture",0.433554541462549,0.445666773420532
"63","INAG",3831.31313131313,0.46839773350771,0.00669330823620773,"Intensive Agriculture",0.465065907922701,0.471732379284121
"64","INAG",3731.81818181818,0.49740583113746,0.00232117056317474,"Intensive Agriculture",0.496245293158131,0.498566397069832
"65","INAG",3632.32323232323,0.526431401119289,0.0057324701953764,"Intensive Agriculture",0.523572340569916,0.52928872942495
"66","INAG",3532.82828282828,0.555279417863696,0.0112792396855826,"Intensive Agriculture",0.549702013926228,0.560842929450189
"67","INAG",3433.33333333333,0.583759596145292,0.0169843509500686,"Intensive Agriculture",0.575482981038045,0.59198925204714
"68","INAG",3333.83838383838,0.61169133333501,0.0227288750320109,"Intensive Agriculture",0.60084075662223,0.622432303526768
"69","INAG",3234.34343434343,0.63890811755576,0.0284889687066791,"Intensive Agriculture",0.625661791811286,0.651946464318251
"70","INAG",3134.84848484848,0.665261183917704,0.0342567654344991,"Intensive Agriculture",0.649835364910321,0.680341725825743
"71","INAG",3035.35353535354,0.690622268081826,0.0400289231849196,"Intensive Agriculture",0.673261183843397,0.707461703335659
"72","INAG",2935.85858585859,0.71488538198038,0.0458037859503187,"Intensive Agriculture",0.695852172722713,0.733184218629085
"73","INAG",2836.36363636364,0.737967611395552,0.051580454060034,"Intensive Agriculture",0.717535777057654,0.75742116848741
"74","INAG",2736.86868686869,0.75980900106603,0.0573583999645448,"Intensive Agriculture",0.738254479357563,0.78011719379591
"75","INAG",2637.37373737374,0.780371644663077,0.0631372897977798,"Intensive Agriculture",0.757965734463305,0.801247256876899
"76","INAG",2537.87878787879,0.799638130952029,0.0689169002553946,"Intensive Agriculture",0.776641441301382,0.82081339026032
"77","INAG",2438.38383838384,0.817609513504631,0.0746970747383823,"Intensive Agriculture",0.794267052572355,0.838840914014049
"78","INAG",2338.88888888889,0.834302971479142,0.0804776989568152,"Intensive Agriculture",0.810840412997168,0.855374410442592
"79","INAG",2239.39393939394,0.84974931643192,0.0862586868747178,"Intensive Agriculture",0.826370411893982,0.87047370428906
"80","INAG",2139.89898989899,0.863990478852213,0.0920399724535618,"Intensive Agriculture",0.84087552890011,0.884210042664476
"81","INAG",2040.40404040404,0.877077082046978,0.0978215047973478,"Intensive Agriculture",0.854382342148499,0.896662612011619
"82","INAG",1940.90909090909,0.889066183570875,0.103603245688021,"Intensive Agriculture",0.866924056843903,0.907915476373322
"83","INAG",1841.41414141414,0.900019238364916,0.109385171935778,"Intensive Agriculture",0.878539099714349,0.918054976523234
"84","INAG",1741.91919191919,0.910000313738185,0.115167270198546,"Intensive Agriculture",0.889269815253355,0.927167590814397
"85","INAG",1642.42424242424,0.919074568054648,0.120949529954031,"Intensive Agriculture",0.899161284835975,0.935338237299429
"86","INAG",1542.92929292929,0.927306990026605,0.126731941696857,"Intensive Agriculture",0.908260280748653,0.942648978992673
"87","INAG",1443.43434343434,0.934761384143286,0.13251449611771,"Intensive Agriculture",0.916614360974149,0.949178082406778
"88","INAG",1343.93939393939,0.941499580890039,0.138297183900142,"Intensive Agriculture",0.924271103325859,0.95499937692503
"89","INAG",1244.44444444445,0.947580846376312,0.144079995961529,"Intensive Agriculture",0.931277472655648,0.960181863167611
"90","INAG",1144.94949494949,0.953061464362647,0.149862924018197,"Intensive Agriculture",0.937679311494232,0.964789521828178
"91","INAG",1045.45454545455,0.957994463837981,0.15564596139042,"Intensive Agriculture",0.943520942386631,0.968881279394461
"92","INAG",945.959595959595,0.962429466697932,0.161429104112074,"Intensive Agriculture",0.948844869112061,0.972511092875269
"93","INAG",846.464646464647,0.966412632273955,0.167212353273745,"Intensive Agriculture",0.953691563682082,0.975728121562283
"94","INAG",746.969696969696,0.969986677961502,0.172995711073885,"Intensive Agriculture",0.958099326950977,0.978576958995678
"95","INAG",647.474747474747,0.973190958051219,0.178779176582461,"Intensive Agriculture",0.962104210106232,0.981097904313771
"96","INAG",547.979797979799,0.976061585591928,0.184562746498489,"Intensive Agriculture",0.965739985820575,0.983327256350391
"97","INAG",448.484848484848,0.978631584582482,0.190346417821314,"Intensive Agriculture",0.969038159634009,0.985297617249805
"98","INAG",348.989898989899,0.980931062112779,0.196130191309708,"Intensive Agriculture",0.972028012997431,0.987038195808763
"99","INAG",249.494949494949,0.982987392251569,0.201914066496709,"Intensive Agriculture",0.974736671097925,0.988575103347791
"100","INAG",150,0.984825405100038,0.207698041257055,"Intensive Agriculture",0.977189188153896,0.989931637569577
