years BP 2000,permille
0,-35.19
50,-35.19
50,-34.83
100,-34.83
100,-35.05
150,-35.05
150,-35.45
200,-35.45
200,-35.42
250,-35.42
250,-35.63
300,-35.63
300,-35.8
350,-35.8
350,-35.62
400,-35.62
400,-35.48
450,-35.48
450,-35.36
500,-35.36
500,-35.41
550,-35.41
550,-35.1
600,-35.1
600,-35.27
650,-35.27
650,-35.67
700,-35.67
700,-35.33
750,-35.33
750,-35.38
800,-35.38
800,-35.63
850,-35.63
850,-35.49
900,-35.49
900,-35.3
950,-35.3
950,-35.66
1000,-35.66
1000,-35.01
1050,-35.01
1050,-35.09
1100,-35.09
1100,-35.58
1150,-35.58
1150,-35.51
1200,-35.51
1200,-35.34
1250,-35.34
1250,-35.27
1300,-35.27
1300,-35.26
1350,-35.26
1350,-35.09
1400,-35.09
1400,-35.2
1450,-35.2
1450,-35.09
1500,-35.09
1500,-35.68
1550,-35.68
1550,-35.42
1600,-35.42
1600,-34.84
1650,-34.84
1650,-35.68
1700,-35.68
1700,-35.22
1750,-35.22
1750,-35.72
1800,-35.72
1800,-35.43
1850,-35.43
1850,-35.19
1900,-35.19
1900,-34.66
1950,-34.66
1950,-35.03
2000,-35.03
2000,-35
2050,-35
2050,-35.12
2100,-35.12
2100,-35.19
2150,-35.19
2150,-35.6
2200,-35.6
2200,-35.33
2250,-35.33
2250,-34.77
2300,-34.77
2300,-34.99
2350,-34.99
2350,-35.1
2400,-35.1
2400,-34.93
2450,-34.93
2450,-35.65
2500,-35.65
2500,-35.25
2550,-35.25
2550,-35.11
2600,-35.11
2600,-35.29
2650,-35.29
2650,-35.32
2700,-35.32
2700,-35.19
2750,-35.19
2750,-34.86
2800,-34.86
2800,-34.96
2850,-34.96
2850,-35.14
2900,-35.14
2900,-35.03
2950,-35.03
2950,-34.64
3000,-34.64
3000,-34.98
3050,-34.98
3050,-35.19
3100,-35.19
3100,-34.91
3150,-34.91
3150,-35.02
3200,-35.02
3200,-35.17
3250,-35.17
3250,-35.08
3300,-35.08
3300,-35.15
3350,-35.15
3350,-34.91
3400,-34.91
3400,-34.81
3450,-34.81
3450,-35.07
3500,-35.07
3500,-35
3550,-35
3550,-34.96
3600,-34.96
3600,-35.13
3650,-35.13
3650,-34.49
3700,-34.49
3700,-34.63
3750,-34.63
3750,-35.06
3800,-35.06
3800,-35.05
3850,-35.05
3850,-35.21
3900,-35.21
3900,-35.11
3950,-35.11
3950,-35.07
4000,-35.07
4000,-34.73
4050,-34.73
4050,-35.02
4100,-35.02
4100,-35.25
4150,-35.25
4150,-34.96
4200,-34.96
4200,-34.65
4250,-34.65
4250,-35.19
4300,-35.19
4300,-34.65
4350,-34.65
4350,-35.1
4400,-35.1
4400,-34.99
4450,-34.99
4450,-34.65
4500,-34.65
4500,-35
4550,-35
4550,-34.45
4600,-34.45
4600,-34.87
4650,-34.87
4650,-35.05
4700,-35.05
4700,-34.78
4750,-34.78
4750,-34.6
4800,-34.6
4800,-34.85
4850,-34.85
4850,-34.74
4900,-34.74
4900,-34.4
4950,-34.4
4950,-34.72
5000,-34.72
5000,-34.76
5050,-34.76
5050,-34.65
5100,-34.65
5100,-34.98
5150,-34.98
5150,-34.41
5200,-34.41
5200,-34.68
5250,-34.68
5250,-35.09
5300,-35.09
5300,-34.97
5350,-34.97
5350,-35.02
5400,-35.02
5400,-34.64
5450,-34.64
5450,-34.56
5500,-34.56
5500,-34.51
5550,-34.51
5550,-34.82
5600,-34.82
5600,-34.63
5650,-34.63
5650,-35.09
5700,-35.09
5700,-34.75
5750,-34.75
5750,-34.62
5800,-34.62
5800,-34.82
5850,-34.82
5850,-34.22
5900,-34.22
5900,-34.73
5950,-34.73
5950,-34.96
6000,-34.96
6000,-34.93
6050,-34.93
6050,-34.83
6100,-34.83
6100,-34.4
6150,-34.4
6150,-34.81
6200,-34.81
6200,-34.77
6250,-34.77
6250,-34.8
6300,-34.8
6300,-34.78
6350,-34.78
6350,-34.65
6400,-34.65
6400,-34.35
6450,-34.35
6450,-34.55
6500,-34.55
6500,-35.08
6550,-35.08
6550,-34.47
6600,-34.47
6600,-34.61
6650,-34.61
6650,-34.54
6700,-34.54
6700,-34.51
6750,-34.51
6750,-34.72
6800,-34.72
6800,-34.66
6850,-34.66
6850,-34.54
6900,-34.54
6900,-34.77
6950,-34.77
6950,-34.6
7000,-34.6
7000,-34.79
7050,-34.79
7050,-34.7
7100,-34.7
7100,-34.81
7150,-34.81
7150,-34.82
7200,-34.82
7200,-34.61
7250,-34.61
7250,-34.91
7300,-34.91
7300,-34.69
7350,-34.69
7350,-34.43
7400,-34.43
7400,-34.41
7450,-34.41
7450,-34.52
7500,-34.52
7500,-34.69
7550,-34.69
7550,-34.23
7600,-34.23
7600,-34.33
7650,-34.33
7650,-34.39
7700,-34.39
7700,-34.42
7750,-34.42
7750,-34.06
7800,-34.06
7800,-34.25
7850,-34.25
7850,-34.89
7900,-34.89
7900,-34.54
7950,-34.54
7950,-34.13
8000,-34.13
8000,-34.63
8050,-34.63
8050,-34.65
8100,-34.65
8100,-35.51
8150,-35.51
8150,-35.98
8200,-35.98
8200,-35.39
8250,-35.39
8250,-34.6
8300,-34.6
8300,-34.69
8350,-34.69
8350,-35.13
8400,-35.13
8400,-34.77
8450,-34.77
8450,-34.6
8500,-34.6
8500,-34.71
8550,-34.71
8550,-34.46
8600,-34.46
8600,-35.12
8650,-35.12
8650,-34.75
8700,-34.75
8700,-34.82
8750,-34.82
8750,-35.05
8800,-35.05
8800,-34.67
8850,-34.67
8850,-34.3
8900,-34.3
8900,-34.71
8950,-34.71
8950,-34.66
9000,-34.66
9000,-35.22
9050,-35.22
9050,-34.78
9100,-34.78
9100,-34.49
9150,-34.49
9150,-34.81
9200,-34.81
9200,-35.48
9250,-35.48
9250,-35.41
9300,-35.41
9300,-34.78
9350,-34.78
9350,-34.87
9400,-34.87
9400,-35.12
9450,-35.12
9450,-34.83
9500,-34.83
9500,-34.91
9550,-34.91
9550,-34.86
9600,-34.86
9600,-34.86
9650,-34.86
9650,-34.7
9700,-34.7
9700,-34.64
9750,-34.64
9750,-35.15
9800,-35.15
9800,-34.99
9850,-34.99
9850,-35.13
9900,-35.13
9900,-34.93
9950,-34.93
9950,-35.29
10000,-35.29
10000,-35.25
10050,-35.25
10050,-35.24
10100,-35.24
10100,-35.38
10150,-35.38
10150,-36.27
10200,-36.27
10200,-35.73
10250,-35.73
10250,-36.18
10300,-36.18
10300,-36.22
10350,-36.22
10350,-36.09
10400,-36.09
10400,-35.7
10450,-35.7
10450,-35.9
10500,-35.9
10500,-36.3
10550,-36.3
10550,-35.62
10600,-35.62
10600,-36.17
10650,-36.17
10650,-36.31
10700,-36.31
10700,-36.54
10750,-36.54
10750,-37.36
10800,-37.36
10800,-37.23
10850,-37.23
10850,-36.99
10900,-36.99
10900,-36.7
10950,-36.7
10950,-36.78
11000,-36.78
11000,-36.73
11050,-36.73
11050,-37.48
11100,-37.48
11100,-36.51
11150,-36.51
11150,-36.96
11200,-36.96
11200,-37.44
11250,-37.44
11250,-37.98
11300,-37.98
11300,-38.03
11350,-38.03
11350,-37.13
11400,-37.13
11400,-36.77
11450,-36.77
11450,-36.7
11500,-36.7
11500,-38.99
11550,-38.99
11550,-40.22
11600,-40.22
11600,-40.22
11650,-40.22
11650,-39.71
11700,-39.71
11700,-40.84
11750,-40.84
11750,-41.04
11800,-41.04
11800,-40.41
11850,-40.41
11850,-39.95
11900,-39.95
11900,-41.22
11950,-41.22
11950,-41.38
12000,-41.38
12000,-40.63
12050,-40.63
12050,-40.39
12100,-40.39
12100,-40.76
12150,-40.76
12150,-41.37
12200,-41.37
12200,-40.97
12250,-40.97
12250,-41.06
12300,-41.06
12300,-40.54
12350,-40.54
12350,-40.82
12400,-40.82
12400,-41.67
12450,-41.67
12450,-41.11
12500,-41.11
12500,-42.21
12550,-42.21
12550,-40.86
12600,-40.86
12600,-40.18
12650,-40.18
12650,-39.53
12700,-39.53
12700,-39.03
12750,-39.03
12750,-38.76
12800,-38.76
12800,-39.38
12850,-39.38
12850,-39.88
12900,-39.88
12900,-40.07
12950,-40.07
12950,-41.07
13000,-41.07
13000,-40.05
13050,-40.05
13050,-40.2
13100,-40.2
13100,-39.07
13150,-39.07
13150,-39.19
13200,-39.19
13200,-38.57
13250,-38.57
13250,-38.44
13300,-38.44
13300,-38.61
13350,-38.61
13350,-38.01
13400,-38.01
13400,-38.52
13450,-38.52
13450,-39.25
13500,-39.25
13500,-39.77
13550,-39.77
13550,-38.74
13600,-38.74
13600,-38.25
13650,-38.25
13650,-39.08
13700,-39.08
13700,-38.38
13750,-38.38
13750,-38.08
13800,-38.08
13800,-38.39
13850,-38.39
13850,-39.46
13900,-39.46
13900,-40.11
13950,-40.11
13950,-39.71
14000,-39.71
14000,-38.25
14050,-38.25
14050,-38.14
14100,-38.14
14100,-37.89
14150,-37.89
14150,-37.59
14200,-37.59
14200,-37.21
14250,-37.21
14250,-37.17
14300,-37.17
14300,-36.95
14350,-36.95
14350,-37.29
14400,-37.29
14400,-36.26
14450,-36.26
14450,-36.25
14500,-36.25
14500,-36.4
14550,-36.4
14550,-37.47
14600,-37.47
14600,-40.06
14650,-40.06
14650,-41.75
14700,-41.75
14700,-40.58
14750,-40.58
14750,-41.6
14800,-41.6
14800,-41.13
14850,-41.13
14850,-41.56
14900,-41.56
14900,-42.31
14950,-42.31
14950,-42.03
15000,-42.03
15000,-42.06
15050,-42.06
15050,-42.01
15100,-42.01
15100,-42.23
15150,-42.23
15150,-42.55
15200,-42.55
15200,-40.78
15250,-40.78
15250,-42.38
15300,-42.38
15300,-42
15350,-42
15350,-42.55
15400,-42.55
15400,-43.48
15450,-43.48
15450,-42.76
15500,-42.76
15500,-41.94
15550,-41.94
15550,-43.63
15600,-43.63
15600,-43.29
15650,-43.29
15650,-41.41
15700,-41.41
15700,-41.92
15750,-41.92
15750,-41.69
15800,-41.69
15800,-41.88
15850,-41.88
15850,-41.53
15900,-41.53
15900,-43.56
15950,-43.56
15950,-42.18
16000,-42.18
16000,-42.41
16050,-42.41
16050,-41.45
16100,-41.45
16100,-42.01
16150,-42.01
16150,-41.61
16200,-41.61
16200,-41.68
16250,-41.68
16250,-40.8
16300,-40.8
16300,-41
16350,-41
16350,-41.82
16400,-41.82
16400,-41.36
16450,-41.36
16450,-41.17
16500,-41.17
16500,-40.44
16550,-40.44
16550,-40.31
16600,-40.31
16600,-41.9
16650,-41.9
16650,-41.28
16700,-41.28
16700,-40.42
16750,-40.42
16750,-40.42
16800,-40.42
16800,-40.45
16850,-40.45
16850,-40.99
16900,-40.99
16900,-40.76
16950,-40.76
16950,-41.02
17000,-41.02
17000,-42.02
17050,-42.02
17050,-41.14
17100,-41.14
17100,-40.27
17150,-40.27
17150,-40.18
17200,-40.18
17200,-41.44
17250,-41.44
17250,-40.66
17300,-40.66
17300,-41.15
17350,-41.15
17350,-41.88
17400,-41.88
17400,-42.16
17450,-42.16
17450,-42.6
17500,-42.6
17500,-41.8
17550,-41.8
17550,-42.53
17600,-42.53
17600,-41.83
17650,-41.83
17650,-41.35
17700,-41.35
17700,-42.07
17750,-42.07
17750,-42.47
17800,-42.47
17800,-42.63
17850,-42.63
17850,-42.35
17900,-42.35
17900,-42.25
17950,-42.25
17950,-41.69
18000,-41.69
18000,-40.73
18050,-40.73
18050,-41.66
18100,-41.66
18100,-40.93
18150,-40.93
18150,-41.45
18200,-41.45
18200,-42.09
18250,-42.09
18250,-41.28
18300,-41.28
18300,-41.04
18350,-41.04
18350,-41.89
18400,-41.89
18400,-41.32
18450,-41.32
18450,-42.19
18500,-42.19
18500,-41.71
18550,-41.71
18550,-42.34
18600,-42.34
18600,-42.48
18650,-42.48
18650,-42.31
18700,-42.31
18700,-41.37
18750,-41.37
18750,-42.18
18800,-42.18
18800,-42.82
18850,-42.82
18850,-41.26
18900,-41.26
18900,-41.97
18950,-41.97
18950,-41.52
19000,-41.52
19000,-41.13
19050,-41.13
19050,-41.05
19100,-41.05
19100,-41.36
19150,-41.36
19150,-42.82
19200,-42.82
19200,-40.88
19250,-40.88
19250,-40.98
19300,-40.98
19300,-42.6
19350,-42.6
19350,-41.77
19400,-41.77
19400,-42.57
19450,-42.57
19450,-42.18
19500,-42.18
19500,-42.22
19550,-42.22
19550,-41.73
19600,-41.73
19600,-42.29
19650,-42.29
19650,-42.01
19700,-42.01
19700,-42.9
19750,-42.9
19750,-43.2
19800,-43.2
19800,-43.34
19850,-43.34
19850,-42.38
19900,-42.38
19900,-42.76
19950,-42.76
19950,-43.87
20000,-43.87
20000,-42.03
20050,-42.03
20050,-41.01
20100,-41.01
20100,-41.79
20150,-41.79
20150,-42.28
20200,-42.28
20200,-42.11
20250,-42.11
20250,-42.7
20300,-42.7
20300,-42.49
20350,-42.49
20350,-42.75
20400,-42.75
20400,-44.28
20450,-44.28
20450,-42.61
20500,-42.61
20500,-43.15
20550,-43.15
20550,-42.06
20600,-42.06
20600,-42.96
20650,-42.96
20650,-43.29
20700,-43.29
20700,-42.14
20750,-42.14
20750,-42.41
20800,-42.41
20800,-42.77
20850,-42.77
20850,-42.07
20900,-42.07
20900,-43.05
20950,-43.05
20950,-42.14
21000,-42.14
21000,-41.71
21050,-41.71
21050,-42.65
21100,-42.65
21100,-42.95
21150,-42.95
21150,-43.75
21200,-43.75
21200,-42.91
21250,-42.91
21250,-43.28
21300,-43.28
21300,-42.36
21350,-42.36
21350,-41.85
21400,-41.85
21400,-42.83
21450,-42.83
21450,-41.87
21500,-41.87
21500,-42.03
21550,-42.03
21550,-41.59
21600,-41.59
21600,-41.56
21650,-41.56
21650,-42.14
21700,-42.14
21700,-42.34
21750,-42.34
21750,-42.9
21800,-42.9
21800,-42.4
21850,-42.4
21850,-42.31
21900,-42.31
21900,-43.01
21950,-43.01
21950,-42.24
22000,-42.24
22000,-42.38
22050,-42.38
22050,-43.48
22100,-43.48
22100,-41.22
22150,-41.22
22150,-41.2
22200,-41.2
22200,-42.49
22250,-42.49
22250,-41.87
22300,-41.87
22300,-41.18
22350,-41.18
22350,-42.27
22400,-42.27
22400,-42.11
22450,-42.11
22450,-42.76
22500,-42.76
22500,-42.47
22550,-42.47
22550,-41.76
22600,-41.76
22600,-41.07
22650,-41.07
22650,-39.76
22700,-39.76
22700,-41.92
22750,-41.92
22750,-43.46
22800,-43.46
22800,-42
22850,-42
22850,-43.68
22900,-43.68
22900,-43.61
22950,-43.61
22950,-43.77
23000,-43.77
23000,-43.67
23050,-43.67
23050,-44.07
23100,-44.07
23100,-43.12
23150,-43.12
23150,-43.72
23200,-43.72
23200,-44.19
23250,-44.19
23250,-43.53
23300,-43.53
23300,-43.57
23350,-43.57
23350,-42.65
23400,-42.65
23400,-43.14
23450,-43.14
23450,-43.74
23500,-43.74
23500,-43.55
23550,-43.55
23550,-43.82
23600,-43.82
23600,-44.32
23650,-44.32
23650,-43.8
23700,-43.8
23700,-42.62
23750,-42.62
23750,-43.54
23800,-43.54
23800,-43.41
23850,-43.41
23850,-43.5
23900,-43.5
23900,-43.2
23950,-43.2
23950,-42.7
24000,-42.7
24000,-43.6
24050,-43.6
24050,-44.23
24100,-44.23
24100,-43.04
24150,-43.04
24150,-43.84
24200,-43.84
24200,-44.06
24250,-44.06
24250,-43.89
24300,-43.89
24300,-44.49
24350,-44.49
24350,-42.67
24400,-42.67
24400,-42.74
24450,-42.74
24450,-43.43
24500,-43.43
24500,-44.21
24550,-44.21
24550,-43.39
24600,-43.39
24600,-42.79
24650,-42.79
24650,-44
24700,-44
24700,-43.45
24750,-43.45
24750,-42.93
24800,-42.93
24800,-44.13
24850,-44.13
24850,-44.86
24900,-44.86
24900,-42.36
24950,-42.36
24950,-43.39
25000,-43.39
25000,-43.44
25050,-43.44
25050,-44.56
25100,-44.56
25100,-44.76
25150,-44.76
25150,-44.18
25200,-44.18
25200,-43.73
25250,-43.73
25250,-44.76
25300,-44.76
25300,-44.37
25350,-44.37
25350,-43.45
25400,-43.45
25400,-43.45
25450,-43.45
25450,-44.76
25500,-44.76
25500,-42.46
25550,-42.46
25550,-43.24
25600,-43.24
25600,-42.27
25650,-42.27
25650,-42.76
25700,-42.76
25700,-43.18
25750,-43.18
25750,-42.79
25800,-42.79
25800,-42.67
25850,-42.67
25850,-42.44
25900,-42.44
25900,-42.94
25950,-42.94
25950,-43.79
26000,-43.79
26000,-45.62
26050,-45.62
26050,-44.4
26100,-44.4
26100,-43.54
26150,-43.54
26150,-43.17
26200,-43.17
26200,-43.36
26250,-43.36
26250,-44.16
26300,-44.16
26300,-44.07
26350,-44.07
26350,-43.23
26400,-43.23
26400,-43.91
26450,-43.91
26450,-43.47
26500,-43.47
26500,-42.54
26550,-42.54
26550,-43.97
26600,-43.97
26600,-43.97
26650,-43.97
26650,-42.36
26700,-42.36
26700,-42.63
26750,-42.63
26750,-43.45
26800,-43.45
26800,-43.35
26850,-43.35
26850,-43.08
26900,-43.08
26900,-44.06
26950,-44.06
26950,-44.4
27000,-44.4
27000,-44.58
27050,-44.58
27050,-43.61
27100,-43.61
27100,-43.03
27150,-43.03
27150,-41.42
27200,-41.42
27200,-40.72
27250,-40.72
27250,-39.62
27300,-39.62
27300,-39.4
27350,-39.4
27350,-38.37
27400,-38.37
27400,-43.2
27450,-43.2
27450,-43.72
27500,-43.72
27500,-43.82
27550,-43.82
27550,-43.85
27600,-43.85
27600,-44.84
27650,-44.84
27650,-44.2
27700,-44.2
27700,-44.58
27750,-44.58
27750,-44.05
27800,-44.05
27800,-44.15
27850,-44.15
27850,-44.48
27900,-44.48
27900,-43.75
27950,-43.75
27950,-44.7
28000,-44.7
28000,-43.59
28050,-43.59
28050,-43.78
28100,-43.78
28100,-44.28
28150,-44.28
28150,-43.2
28200,-43.2
28200,-43.23
28250,-43.23
28250,-40.58
28300,-40.58
28300,-40.33
28350,-40.33
28350,-40.45
28400,-40.45
28400,-40.36
28450,-40.36
28450,-39.02
28500,-39.02
28500,-40.23
28550,-40.23
28550,-42.5
28600,-42.5
28600,-43.6
28650,-43.6
28650,-44.37
28700,-44.37
28700,-44.08
28750,-44.08
28750,-44.54
28800,-44.54
28800,-43.71
28850,-43.71
28850,-44.13
28900,-44.13
28900,-44.32
28950,-44.32
28950,-43.65
29000,-43.65
29000,-43.51
29050,-43.51
29050,-44.14
29100,-44.14
29100,-45.07
29150,-45.07
29150,-44.35
29200,-44.35
29200,-45.82
29250,-45.82
29250,-44.57
29300,-44.57
29300,-45.22
29350,-45.22
29350,-44.39
29400,-44.39
29400,-44.15
29450,-44.15
29450,-44.31
29500,-44.31
29500,-44.51
29550,-44.51
29550,-44.06
29600,-44.06
29600,-43.98
29650,-43.98
29650,-44.83
29700,-44.83
29700,-44.47
29750,-44.47
29750,-45.11
29800,-45.11
29800,-44.22
29850,-44.22
29850,-44.37
29900,-44.37
29900,-45.09
29950,-45.09
29950,-43.74
30000,-43.74
30000,-44.04
30050,-44.04
30050,-44.88
30100,-44.88
30100,-43.76
30150,-43.76
30150,-43.35
30200,-43.35
30200,-43.83
30250,-43.83
30250,-42.23
30300,-42.23
30300,-42.37
30350,-42.37
30350,-43
30400,-43
30400,-43.85
30450,-43.85
30450,-43.12
30500,-43.12
30500,-43.65
30550,-43.65
30550,-44.24
30600,-44.24
30600,-44.21
30650,-44.21
30650,-43.66
30700,-43.66
30700,-43.89
30750,-43.89
30750,-43.58
30800,-43.58
30800,-43.28
30850,-43.28
30850,-44.29
30900,-44.29
30900,-44.13
30950,-44.13
30950,-43.22
31000,-43.22
31000,-43.74
31050,-43.74
31050,-44.21
31100,-44.21
31100,-43.46
31150,-43.46
31150,-43.08
31200,-43.08
31200,-44.4
31250,-44.4
31250,-43.69
31300,-43.69
31300,-44.02
31350,-44.02
31350,-43.95
31400,-43.95
31400,-43.09
31450,-43.09
31450,-43.68
31500,-43.68
31500,-43.39
31550,-43.39
31550,-44.07
31600,-44.07
31600,-43.65
31650,-43.65
31650,-43.96
31700,-43.96
31700,-43.4
31750,-43.4
31750,-43.57
31800,-43.57
31800,-41.55
31850,-41.55
31850,-41.7
31900,-41.7
31900,-40.61
31950,-40.61
31950,-40.3
32000,-40.3
32000,-40.43
32050,-40.43
32050,-40.4
32100,-40.4
32100,-39.94
32150,-39.94
32150,-39.88
32200,-39.88
32200,-38.92
32250,-38.92
32250,-42.28
32300,-42.28
32300,-43.91
32350,-43.91
32350,-43.81
32400,-43.81
32400,-44.18
32450,-44.18
32450,-44.26
32500,-44.26
32500,-43.77
32550,-43.77
32550,-44.17
32600,-44.17
32600,-44.69
32650,-44.69
32650,-45.14
32700,-45.14
32700,-43.84
32750,-43.84
32750,-42.97
32800,-42.97
32800,-43.48
32850,-43.48
32850,-43.68
32900,-43.68
32900,-43.81
32950,-43.81
32950,-43.26
33000,-43.26
33000,-43.21
33050,-43.21
33050,-43.56
33100,-43.56
33100,-44.19
33150,-44.19
33150,-43.14
33200,-43.14
33200,-41.1
33250,-41.1
33250,-40.38
33300,-40.38
33300,-39.92
33350,-39.92
33350,-39.66
33400,-39.66
33400,-39.82
33450,-39.82
33450,-39.78
33500,-39.78
33500,-39.03
33550,-39.03
33550,-41.04
33600,-41.04
33600,-41.91
33650,-41.91
33650,-42.7
33700,-42.7
33700,-42.73
33750,-42.73
33750,-43.26
33800,-43.26
33800,-43.32
33850,-43.32
33850,-42.49
33900,-42.49
33900,-42.92
33950,-42.92
33950,-42.72
34000,-42.72
34000,-42.85
34050,-42.85
34050,-42.59
34100,-42.59
34100,-43.38
34150,-43.38
34150,-43.09
34200,-43.09
34200,-42.81
34250,-42.81
34250,-42.61
34300,-42.61
34300,-42.97
34350,-42.97
34350,-43.38
34400,-43.38
34400,-42.98
34450,-42.98
34450,-41.93
34500,-41.93
34500,-42.2
34550,-42.2
34550,-40.05
34600,-40.05
34600,-40.5
34650,-40.5
34650,-40.4
34700,-40.4
34700,-40.77
34750,-40.77
34750,-41.17
34800,-41.17
34800,-40.99
34850,-40.99
34850,-40.3
34900,-40.3
34900,-39.35
34950,-39.35
34950,-40.17
35000,-40.17
35000,-39.67
35050,-39.67
35050,-39.8
35100,-39.8
35100,-39.36
35150,-39.36
35150,-39.51
35200,-39.51
35200,-39.24
35250,-39.24
35250,-38.78
35300,-38.78
35300,-38.63
35350,-38.63
35350,-39.86
35400,-39.86
35400,-42.62
35450,-42.62
35450,-42.74
35500,-42.74
35500,-42.83
35550,-42.83
35550,-42.6
35600,-42.6
35600,-41.95
35650,-41.95
35650,-42.58
35700,-42.58
35700,-43.43
35750,-43.43
35750,-44.52
35800,-44.52
35800,-44.52
35850,-44.52
35850,-42.59
35900,-42.59
35900,-43.13
35950,-43.13
35950,-43.32
36000,-43.32
36000,-42.93
36050,-42.93
36050,-42.81
36100,-42.81
36100,-42.43
36150,-42.43
36150,-42.75
36200,-42.75
36200,-43.32
36250,-43.32
36250,-42.88
36300,-42.88
36300,-42
36350,-42
36350,-43.06
36400,-43.06
36400,-42.12
36450,-42.12
36450,-41.75
36500,-41.75
36500,-43.23
36550,-43.23
36550,-42.21
36600,-42.21
36600,-40.82
36650,-40.82
36650,-41.05
36700,-41.05
36700,-41.09
36750,-41.09
36750,-41.26
36800,-41.26
36800,-40.4
36850,-40.4
36850,-41.54
36900,-41.54
36900,-41.31
36950,-41.31
36950,-41.52
37000,-41.52
37000,-41.01
37050,-41.01
37050,-41.33
37100,-41.33
37100,-40.96
37150,-40.96
37150,-40.21
37200,-40.21
37200,-40.02
37250,-40.02
37250,-39.59
37300,-39.59
37300,-39.93
37350,-39.93
37350,-39.28
37400,-39.28
37400,-40.29
37450,-40.29
37450,-40.21
37500,-40.21
37500,-38.77
37550,-38.77
37550,-39.28
37600,-39.28
37600,-38.74
37650,-38.74
37650,-39.15
37700,-39.15
37700,-38.9
37750,-38.9
37750,-38.71
37800,-38.71
37800,-39.04
37850,-39.04
37850,-39.12
37900,-39.12
37900,-39.03
37950,-39.03
37950,-39.41
38000,-39.41
38000,-39.05
38050,-39.05
38050,-38.64
38100,-38.64
38100,-38.5
38150,-38.5
38150,-38.97
38200,-38.97
38200,-38.2
38250,-38.2
38250,-38.13
38300,-38.13
38300,-38.99
38350,-38.99
38350,-41.76
38400,-41.76
38400,-42.3
38450,-42.3
38450,-42.78
38500,-42.78
38500,-42.26
38550,-42.26
38550,-42.15
38600,-42.15
38600,-42.76
38650,-42.76
38650,-42.81
38700,-42.81
38700,-42.71
38750,-42.71
38750,-42.77
38800,-42.77
38800,-43.71
38850,-43.71
38850,-43.21
38900,-43.21
38900,-43.19
38950,-43.19
38950,-43.09
39000,-43.09
39000,-42.63
39050,-42.63
39050,-42.5
39100,-42.5
39100,-42.11
39150,-42.11
39150,-43.91
39200,-43.91
39200,-43.54
39250,-43.54
39250,-44.16
39300,-44.16
39300,-43.05
39350,-43.05
39350,-43.27
39400,-43.27
39400,-43.62
39450,-43.62
39450,-43.35
39500,-43.35
39500,-43.03
39550,-43.03
39550,-43.57
39600,-43.57
39600,-42.66
39650,-42.66
39650,-43.49
39700,-43.49
39700,-43.67
39750,-43.67
39750,-42.01
39800,-42.01
39800,-43.88
39850,-43.88
39850,-42.68
39900,-42.68
39900,-42.96
39950,-42.96
39950,-43.24
40000,-43.24
40000,-43.23
40050,-43.23
40050,-43.33
40100,-43.33
40100,-42.23
40150,-42.23
40150,-41.09
40200,-41.09
40200,-40.75
40250,-40.75
40250,-40.34
40300,-40.34
40300,-40.18
40350,-40.18
40350,-42.77
40400,-42.77
40400,-42.2
40450,-42.2
40450,-42.44
40500,-42.44
40500,-42.21
40550,-42.21
40550,-42.42
40600,-42.42
40600,-42.2
40650,-42.2
40650,-42.29
40700,-42.29
40700,-42.08
40750,-42.08
40750,-42.9
40800,-42.9
40800,-43.34
40850,-43.34
40850,-43.32
40900,-43.32
40900,-43.01
40950,-43.01
40950,-43.67
41000,-43.67
41000,-43.77
41050,-43.77
41050,-42.3
41100,-42.3
41100,-42
41150,-42
41150,-41.95
41200,-41.95
41200,-41.67
41250,-41.67
41250,-40.8
41300,-40.8
41300,-40.01
41350,-40.01
41350,-39.76
41400,-39.76
41400,-40.43
41450,-40.43
41450,-39.43
41500,-39.43
41500,-40.07
41550,-40.07
41550,-39.33
41600,-39.33
41600,-39.57
41650,-39.57
41650,-38.92
41700,-38.92
41700,-39.05
41750,-39.05
41750,-42.07
41800,-42.07
41800,-42.37
41850,-42.37
41850,-43.01
41900,-43.01
41900,-42.19
41950,-42.19
41950,-42.6
42000,-42.6
42000,-42.44
42050,-42.44
42050,-43.29
42100,-43.29
42100,-42.82
